restaurant,item,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,Total Nutrient ,"Health_Score   1= HIGH_HEALTHY,0=LOW_HEALTHY"
Mcdonalds,Artisan Grilled Chicken Sandwich,380,60,7,2,1,95,1110,44,3,11,37,4,20,20,1794,1
Mcdonalds,Single Bacon Smokehouse Burger,840,410,45,17,2,130,1580,62,2,18,46,6,20,20,3198,1
Mcdonalds,Double Bacon Smokehouse Burger,1130,600,67,27,3,220,1920,63,3,18,70,10,20,50,4201,1
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,280,31,10,1,155,1940,62,2,18,55,6,25,20,3355,1
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,410,45,12,1,120,1980,81,4,18,46,6,20,20,3683,1
Mcdonalds,Big Mac,540,250,28,10,1,80,950,46,3,9,25,10,2,15,1969,1
Mcdonalds,Cheeseburger,300,100,12,5,1,40,680,33,2,7,15,10,2,10,1217,1
Mcdonalds,Classic Chicken Sandwich,510,210,24,4,1,65,1040,49,3,6,25,21,4,2,1965,1
Mcdonalds,Double Cheeseburger,430,190,21,11,1,85,1040,35,2,7,25,20,4,15,1886,1
Mcdonalds,Double Quarter Pounder® with Cheese,770,400,45,21,3,175,1290,42,3,10,51,20,6,20,2856,1
Mcdonalds,Filet-O-Fish®,380,170,18,4,1,40,640,38,2,5,15,2,22,15,1353,1
Mcdonalds,Garlic White Cheddar Burger,620,300,34,13,2,95,790,48,3,11,32,10,10,35,2003,1
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,180,20,7,1,125,1150,48,3,11,42,10,20,35,2182,1
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,300,34,9,1,85,1190,67,5,11,33,10,15,35,2495,1
Mcdonalds,Hamburger,250,70,8,3,1,30,480,31,2,6,13,2,2,4,902,1
Mcdonalds,Lobster Roll,290,50,5,2,1,65,630,35,2,3,24,4,6,15,1132,1
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,330,36,14,2,110,1260,40,3,10,37,6,15,15,2518,1
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,190,21,8,1,135,1890,50,3,14,48,4,30,30,3004,1
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,310,35,9,1,95,1780,69,5,14,39,4,20,290,3411,1
Mcdonalds,McChicken,350,130,15,4,1,40,600,40,2,5,15,2,2,4,1210,1
Mcdonalds,McDouble,380,160,18,8,1,70,840,34,2,7,23,10,2,10,1565,1
Mcdonalds,McRib,480,200,22,7,1,80,870,45,2,12,25,2,2,6,1754,1
Mcdonalds,Pico Guacamole 1/4 lb Burger,580,300,33,12,2,95,920,41,4,7,29,8,15,15,2061,1
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,160,18,6,1,115,1540,50,4,12,40,8,25,30,2529,1
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,280,32,7,1,80,1430,69,6,12,31,8,15,30,2681,1
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,200,23,5,1,60,1050,64,4,11,28,4,10,20,2050,1
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530,200,22,4,1,45,1000,59,3,13,25,6,10,20,1938,1
Mcdonalds,Quarter Pounder® with Cheese,530,240,27,13,2,100,1090,41,3,10,31,20,6,15,2128,1
Mcdonalds,Signature Sriracha Burger,670,320,35,12,2,95,1010,56,4,13,32,20,15,30,2314,1
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560,180,20,5,1,115,1550,56,4,14,41,20,25,30,2621,1
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730,300,33,7,1,80,1430,75,5,13,32,20,20,30,2776,1
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690,340,37,14,2,110,1310,51,3,14,38,6,15,15,2645,1
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630,200,22,7,1,135,1930,61,4,18,48,4,30,25,3115,1
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800,320,36,9,1,95,1820,80,5,18,39,4,20,30,3277,1
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,370,190,21,4,1,70,910,16,4,8,28,21,22,2,1667,1
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,480,250,28,5,1,95,1290,21,4,1,38,21,22,2,2259,1
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,760,390,44,8,1,145,1890,32,1,1,58,21,22,2,3375,1
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,1210,630,70,12,1,240,3230,52,1,4,94,21,22,4,5592,0
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,1510,790,88,15,1,295,3770,64,1,2,115,21,2,6,6680,0
Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,2430,1270,141,24,2,475,6080,103,2,3,186,21,2,8,10747,0
Mcdonalds,4 Piece Chicken McNuggets,180,100,11,2,1,30,340,11,1,8,10,21,2,25,743,1
Mcdonalds,6 Piece Chicken McNuggets,270,140,16,3,1,45,510,16,1,8,15,21,2,25,1073,1
Mcdonalds,10 Piece Chicken McNuggets,440,240,27,5,1,75,840,26,2,8,24,21,4,2,1715,1
Mcdonalds,20 Piece Chicken McNuggets,890,480,53,9,1,145,1680,53,4,8,49,21,8,4,3405,1
Mcdonalds,40 piece Chicken McNuggets,1770,960,107,18,1,295,3370,105,7,1,98,21,15,6,6774,0
Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,640,240,27,4,1,105,1780,63,2,35,39,4,15,4,2959,1
Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960,360,40,6,1,160,2670,94,3,52,58,4,25,8,4441,1
Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600,600,66,10,1,265,4450,156,5,87,97,8,40,10,7395,0
Mcdonalds,Premium Asian Salad w/o Chicken,140,70,7,1,1,74,20,13,5,7,7,180,45,10,580,1
Mcdonalds,Premium Asian Salad w/ Grilled Chicken,270,80,9,1,1,80,740,18,5,10,31,180,70,10,1505,1
Mcdonalds,Premium Asian Salad w/ Crispy Chicken,490,250,28,8,1,95,1120,28,4,4,33,180,60,15,2316,1
Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,190,110,12,5,1,40,660,9,3,3,14,180,50,15,1292,1
Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,320,120,14,6,1,45,1230,9,3,4,42,180,60,15,2049,1
Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,490,250,28,8,1,95,1120,28,4,4,33,180,60,15,2316,1
Mcdonalds,Premium Southwest Salad w/o Chicken,220,90,10,4,1,15,500,26,6,9,8,180,40,20,1129,1
Mcdonalds,Premium Southwest Salad w/ Grilled Chicken,350,100,12,5,1,110,1070,27,6,9,37,180,50,20,1977,1
Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,520,230,25,6,1,75,960,46,8,9,28,180,40,20,2148,1
Chick Fil-A,Chargrilled Chicken Club Sandwich,430,144,16,8,1,85,1120,37,3,7,37,30,40,25,1983,1
Chick Fil-A,Chargrilled Chicken Sandwich,310,54,6,2,1,55,820,36,3,7,29,25,40,10,1398,1
Chick Fil-A,Chick-n-Slider,270,99,11,3,1,45,800,26,1,4,16,21,22,2,1321,1
Chick Fil-A,1 Piece Chick-n-Strips,120,54,6,3,1,25,320,6,4,1,11,21,22,2,597,1
Chick Fil-A,2 Piece Chick-n-Strips,230,108,12,3,1,55,630,13,1,1,22,21,2,4,1104,1
Chick Fil-A,3 Piece Chick-n-Strips,350,153,17,3,1,70,940,22,1,3,28,2,2,6,1598,1
Chick Fil-A,4 piece Chick-n-Strips,470,207,23,3,1,90,1250,29,1,4,37,2,4,8,2129,1
Chick Fil-A,Chicken Deluxe,500,207,23,7,1,75,1590,42,3,6,31,30,10,20,2545,1
Chick Fil-A,4 piece Chicken Nuggets,130,54,6,2,1,40,490,5,1,8,14,21,2,2,776,1
Chick Fil-A,6 piece Chicken Nuggets,190,81,9,2,1,55,730,7,1,8,21,21,4,2,1132,1
Chick Fil-A,8 piece Chicken Nuggets,260,110,12,3,1,70,990,9,1,1,28,21,2,4,1513,1
Chick Fil-A,12 piece Chicken Nuggets,390,162,18,2,1,115,1460,14,2,1,41,21,8,4,2239,1
Chick Fil-A,30 piece Chicken Nuggets,970,414,46,3,1,285,3660,35,4,1,103,21,20,10,5573,0
Chick Fil-A,Chicken Salad Sandwich,490,170,19,3,1,80,1130,55,5,12,28,35,8,15,2051,1
Chick Fil-A,Chicken Sandwich,440,171,19,4,1,60,1350,40,2,5,28,2,4,15,2141,1
Chick Fil-A,4 Piece Grilled Chicken Nuggets,70,18,2,1,1,35,220,1,4,8,13,21,6,25,426,1
Chick Fil-A,6 Piece Grilled Chicken Nuggets,110,27,3,1,1,50,330,2,4,8,19,21,8,25,610,1
Chick Fil-A,8 piece Grilled Chicken Nuggets,140,36,4,1,1,70,440,2,4,8,25,21,10,2,765,1
Chick Fil-A,12 Piece Grilled Chicken Nuggets,210,45,5,1,1,100,670,3,4,1,38,21,20,2,1122,1
Chick Fil-A,Spicy Grilled Chicken Sub Sandwich,430,108,12,5,1,85,1310,47,5,9,33,21,25,25,2116,1
Chick Fil-A,Regular Grilled Chicken Sub Sandwich,450,117,13,6,1,75,1000,48,4,10,34,21,50,25,1855,1
Chick Fil-A,Smokehouse BBQ Bacon Sandwich,500,162,18,8,1,95,1200,46,2,10,33,45,40,20,2181,1
Chick Fil-A,Spicy Chicken Sandwich,450,171,19,4,1,60,1620,41,1,5,29,4,2,15,2422,1
Chick Fil-A,Spicy Deluxe,540,225,25,8,1,80,1760,43,2,6,34,30,10,30,2794,1
Chick Fil-A,Chargrilled Chicken Cool Wrap,350,126,14,5,1,60,960,29,15,3,37,60,35,35,1730,1
Chick Fil-A,Chicken Enchiladas Meal Kit,860,423,47,16,1,100,2520,70,4,8,39,21,22,25,4157,1
Chick Fil-A,Chicken Parmesan Meal Kit,720,279,31,15,1,120,1780,65,4,7,48,21,22,25,3139,1
Sonic,Hatch Green Chile Cheeseburger,710,380,43,17,2,120,1120,44,2,7,35,10,25,30,2545,1
Sonic,Jalapeno Burger,640,330,37,14,2,100,930,42,2,6,31,4,2,20,2160,1
Sonic,Jr. Burger,340,150,17,6,1,35,640,34,1,6,15,2,4,6,1257,1
Sonic,Jr. Chili Cheeseburger,410,220,24,9,1,55,730,32,1,4,20,7,1,15,1529,1
Sonic,Jr. Deluxe Burger,380,200,23,6,1,40,470,32,1,4,15,2,4,6,1184,1
Sonic,Jr. Deluxe Cheeseburger,450,250,28,9,1,60,800,33,1,4,19,6,4,15,1680,1
Sonic,Jr. Double Cheeseburger,600,350,38,16,2,110,1350,35,1,7,31,15,4,25,2584,1
Sonic,Sonic Bacon Cheeseburger (w/mayo),870,530,59,20,2,140,1350,45,2,7,39,10,8,30,3112,1
Sonic,Sonic Burger W/ Mustard,640,330,37,14,2,100,790,43,2,7,31,6,8,20,2030,1
Sonic,Sonic Burger W/ Ketchup,650,340,37,14,2,100,860,46,2,10,32,8,10,20,2131,1
